# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
2.634538152610441716e-03 1.681020000000000039e+02 1.186200000000000010e+01 8.028000000000000469e+00 2.742447999999997332e+00 2.100280000000001479e+00 1.203842400000000090e+01
2.666666666666666578e-03 1.671100000000000136e+02 1.208000000000000007e+01 8.137999999999999901e+00 2.794095999999997915e+00 2.127439999999998665e+00 1.225627999999999851e+01
2.698795180722891440e-03 1.661140000000000043e+02 1.234200000000000053e+01 8.279999999999999361e+00 2.849968000000001389e+00 2.153751999999999001e+00 1.252499200000000990e+01
2.730923694779116302e-03 1.651260000000000048e+02 1.265000000000000036e+01 8.419999999999999929e+00 2.911647999999999570e+00 2.179848000000002450e+00 1.277715199999998674e+01
2.763052208835341163e-03 1.641320000000000050e+02 1.296400000000000041e+01 8.493999999999999773e+00 2.973072000000000603e+00 2.200175999999999021e+00 1.310060000000000180e+01
2.795180722891566459e-03 1.631380000000000052e+02 1.331400000000000006e+01 8.663999999999999702e+00 3.045743999999999119e+00 2.228072000000000941e+00 1.344009599999999693e+01
2.827309236947791321e-03 1.621440000000000055e+02 1.359999999999999964e+01 8.837999999999999190e+00 3.110288000000000164e+00 2.259152000000001159e+00 1.373889600000000577e+01
2.859437751004016183e-03 1.611459999999999866e+02 1.401800000000000068e+01 8.986000000000000654e+00 3.192687999999999082e+00 2.283847999999996770e+00 1.413382399999999883e+01
2.891566265060241045e-03 1.601479999999999961e+02 1.426600000000000001e+01 9.150000000000000355e+00 3.256671999999998679e+00 2.316648000000001595e+00 1.437581600000001103e+01
2.923694779116465907e-03 1.591579999999999870e+02 1.462599999999999945e+01 9.311999999999999389e+00 3.337023999999999102e+00 2.346359999999999335e+00 1.472743200000000030e+01
2.955823293172690769e-03 1.581620000000000061e+02 1.507399999999999984e+01 9.467999999999999972e+00 3.424448000000000381e+00 2.373272000000001825e+00 1.526444799999999269e+01
2.987951807228915631e-03 1.571719999999999970e+02 1.549000000000000021e+01 9.656000000000000583e+00 3.511648000000000547e+00 2.404727999999998644e+00 1.570352799999999505e+01
3.020080321285140493e-03 1.561800000000000068e+02 1.580400000000000027e+01 9.827999999999999403e+00 3.591391999999996809e+00 2.438720000000002219e+00 1.607005599999998680e+01
3.052208835341365355e-03 1.551879999999999882e+02 1.619800000000000040e+01 1.000799999999999912e+01 3.686288000000000675e+00 2.472311999999997845e+00 1.646199199999999863e+01
3.084337349397590217e-03 1.541939999999999884e+02 1.656200000000000117e+01 1.019800000000000040e+01 3.774159999999998405e+00 2.506839999999999513e+00 1.682893600000000234e+01
3.116465863453815079e-03 1.532040000000000077e+02 1.705199999999999960e+01 1.038199999999999967e+01 3.881199999999998873e+00 2.538992000000003024e+00 1.739533599999998259e+01
3.148594377510040374e-03 1.522059999999999889e+02 1.748000000000000043e+01 1.055799999999999983e+01 3.983632000000000062e+00 2.571312000000002040e+00 1.776344800000000745e+01
3.180722891566265236e-03 1.512199999999999989e+02 1.786400000000000077e+01 1.072000000000000064e+01 4.089103999999998962e+00 2.608048000000001476e+00 1.810755199999999121e+01
3.212851405622490098e-03 1.502319999999999993e+02 1.825799999999999912e+01 1.086800000000000033e+01 4.190575999999999190e+00 2.643399999999997974e+00 1.851036800000001392e+01
3.244979919678714960e-03 1.492439999999999998e+02 1.866400000000000148e+01 1.108399999999999963e+01 4.298111999999997934e+00 2.678672000000000164e+00 1.888848000000000127e+01
3.277108433734939822e-03 1.482500000000000000e+02 1.916199999999999903e+01 1.125399999999999956e+01 4.419727999999996548e+00 2.709591999999999778e+00 1.937078400000001110e+01
3.309236947791164684e-03 1.472620000000000005e+02 1.969000000000000128e+01 1.143200000000000038e+01 4.549856000000000122e+00 2.743192000000000519e+00 1.994776800000001415e+01
3.341365461847389546e-03 1.462740000000000009e+02 2.016000000000000014e+01 1.161800000000000033e+01 4.674239999999996620e+00 2.779791999999998264e+00 2.047360000000000113e+01
3.373493975903614408e-03 1.452800000000000011e+02 2.060200000000000031e+01 1.179400000000000048e+01 4.793696000000000623e+00 2.815751999999999811e+00 2.088240799999998387e+01
3.405622489959839270e-03 1.442839999999999918e+02 2.112999999999999901e+01 1.201600000000000001e+01 4.932367999999996755e+00 2.857032000000000682e+00 2.140565600000001112e+01
3.437751004016064132e-03 1.432980000000000018e+02 2.161599999999999966e+01 1.229800000000000004e+01 5.071423999999993271e+00 2.901119999999999699e+00 2.189519999999999200e+01
3.469879518072288994e-03 1.423120000000000118e+02 2.208399999999999963e+01 1.251800000000000068e+01 5.207631999999997596e+00 2.945776000000000394e+00 2.239628800000001618e+01
3.502008032128513856e-03 1.413240000000000123e+02 2.249599999999999866e+01 1.268999999999999950e+01 5.337568000000006307e+00 2.991311999999998417e+00 2.281057599999998686e+01
3.534136546184739151e-03 1.403360000000000127e+02 2.317000000000000171e+01 1.282799999999999940e+01 5.516671999999996245e+00 3.022904000000002700e+00 2.361332800000000276e+01
3.566265060240964013e-03 1.393480000000000132e+02 2.377199999999999847e+01 1.299799999999999933e+01 5.691168000000001115e+00 3.058208000000001370e+00 2.422344799999999410e+01
3.598393574297188875e-03 1.383640000000000043e+02 2.439799999999999969e+01 1.318399999999999928e+01 5.867791999999997010e+00 3.097128000000000103e+00 2.489955199999999991e+01
3.630522088353413737e-03 1.373839999999999861e+02 2.512600000000000122e+01 1.342399999999999949e+01 6.068256000000005201e+00 3.135720000000000951e+00 2.560680000000000689e+01
3.662650602409638599e-03 1.363940000000000055e+02 2.585200000000000031e+01 1.366000000000000014e+01 6.284431999999998908e+00 3.172495999999998428e+00 2.635010400000000530e+01
3.694779116465863461e-03 1.354240000000000066e+02 2.655199999999999960e+01 1.381400000000000006e+01 6.479296000000004163e+00 3.207519999999996596e+00 2.704569600000000662e+01
3.726907630522088323e-03 1.344459999999999980e+02 2.740599999999999881e+01 1.396799999999999997e+01 6.736080000000002954e+00 3.238471999999998019e+00 2.795255999999998764e+01
3.759036144578313185e-03 1.334660000000000082e+02 2.799599999999999866e+01 1.428800000000000026e+01 6.945152000000001991e+00 3.293392000000000763e+00 2.860824800000001389e+01
3.791164658634538047e-03 1.324879999999999995e+02 2.875799999999999912e+01 1.448000000000000043e+01 7.185504000000003444e+00 3.325624000000003022e+00 2.950722400000001500e+01
3.823293172690762909e-03 1.315000000000000000e+02 2.962199999999999989e+01 1.471599999999999930e+01 7.458287999999993367e+00 3.369015999999999789e+00 3.039536000000000016e+01
3.855421686746987771e-03 1.305200000000000102e+02 3.054400000000000048e+01 1.483999999999999986e+01 7.730592000000001462e+00 3.390559999999998464e+00 3.126832799999998258e+01
3.887550200803213066e-03 1.295540000000000020e+02 3.147800000000000153e+01 1.502200000000000024e+01 8.053552000000006927e+00 3.425991999999999926e+00 3.225413599999999548e+01
3.919678714859437495e-03 1.285900000000000034e+02 3.225800000000000267e+01 1.524600000000000044e+01 8.350640000000002061e+00 3.475799999999996892e+00 3.303692800000001029e+01
3.951807228915662357e-03 1.276200000000000045e+02 3.322200000000000131e+01 1.557199999999999918e+01 8.703775999999994184e+00 3.522664000000002016e+00 3.401209599999999256e+01
3.983935742971887219e-03 1.266479999999999961e+02 3.401599999999999824e+01 1.580199999999999960e+01 8.999280000000007718e+00 3.572944000000001452e+00 3.475972000000002993e+01
4.016064257028112081e-03 1.256839999999999975e+02 3.492199999999999704e+01 1.597799999999999976e+01 9.338128000000002871e+00 3.607832000000001038e+00 3.575796000000001840e+01
4.048192771084336943e-03 1.247180000000000035e+02 3.578999999999999915e+01 1.621000000000000085e+01 9.668847999999991671e+00 3.659208000000001793e+00 3.670495199999997737e+01
4.080321285140562672e-03 1.237439999999999998e+02 3.692999999999999972e+01 1.638200000000000145e+01 1.010384000000000704e+01 3.692648000000001485e+00 3.797560800000000825e+01
4.112449799196787534e-03 1.227699999999999960e+02 3.805799999999999983e+01 1.660000000000000142e+01 1.050726399999999039e+01 3.724360000000003890e+00 3.899178400000000266e+01
4.144578313253012396e-03 1.217860000000000014e+02 3.924799999999999756e+01 1.677400000000000091e+01 1.098855999999999788e+01 3.756335999999998343e+00 4.037555200000002031e+01
4.176706827309237258e-03 1.208259999999999934e+02 4.040999999999999659e+01 1.699599999999999866e+01 1.146311999999999642e+01 3.785383999999999638e+00 4.150934399999997026e+01
4.208835341365462120e-03 1.198679999999999950e+02 4.147599999999999909e+01 1.715200000000000102e+01 1.189686400000000610e+01 3.818976000000002369e+00 4.262148800000000648e+01
4.240963855421686982e-03 1.189060000000000059e+02 4.272599999999999909e+01 1.734799999999999898e+01 1.240828800000000065e+01 3.852423999999997850e+00 4.385943199999999820e+01
4.273092369477911844e-03 1.179279999999999973e+02 4.410199999999999676e+01 1.748999999999999844e+01 1.298681599999999037e+01 3.871479999999996480e+00 4.510328800000003469e+01
4.305220883534136705e-03 1.169579999999999984e+02 4.529599999999999937e+01 1.768400000000000105e+01 1.349790399999998058e+01 3.905088000000004556e+00 4.652135999999999427e+01
4.337349397590361567e-03 1.160259999999999962e+02 4.685600000000000165e+01 1.770599999999999952e+01 1.411089599999999677e+01 3.906224000000000807e+00 4.810356800000002409e+01
4.369477911646586429e-03 1.150819999999999936e+02 4.813199999999999790e+01 1.786400000000000077e+01 1.465046400000000482e+01 3.921856000000002229e+00 4.918181600000000486e+01
4.401606425702811291e-03 1.141359999999999957e+02 4.936200000000000188e+01 1.814600000000000080e+01 1.521782400000000735e+01 3.965031999999994117e+00 5.036708000000002272e+01
4.433734939759036153e-03 1.131860000000000070e+02 5.075800000000000267e+01 1.840800000000000125e+01 1.583696000000000481e+01 3.999016000000001458e+00 5.163336800000001858e+01
4.465863453815261015e-03 1.122639999999999958e+02 5.215800000000000125e+01 1.842399999999999949e+01 1.648428799999999228e+01 4.001416000000000750e+00 5.305105599999998134e+01
4.497991967871485877e-03 1.112999999999999972e+02 5.379800000000000182e+01 1.855999999999999872e+01 1.725108800000000286e+01 4.012887999999999344e+00 5.457712000000002206e+01
4.530120481927710739e-03 1.103419999999999987e+02 5.531400000000000006e+01 1.870400000000000063e+01 1.797995199999998661e+01 4.035784000000001370e+00 5.603257599999996330e+01
4.562248995983935601e-03 1.094080000000000013e+02 5.688600000000000279e+01 1.883999999999999986e+01 1.872766400000000431e+01 4.049687999999998844e+00 5.745503200000000987e+01
4.594377510040160463e-03 1.084860000000000042e+02 5.850800000000000267e+01 1.878800000000000026e+01 1.954908799999998692e+01 4.042656000000000027e+00 5.867657600000002560e+01
4.626506024096385325e-03 1.075780000000000030e+02 6.027199999999999847e+01 1.866199999999999903e+01 2.040975999999999857e+01 4.009759999999999991e+00 6.030804000000000542e+01
4.658634538152610187e-03 1.066419999999999959e+02 6.189399999999999835e+01 1.873000000000000043e+01 2.125024000000000157e+01 4.007144000000004702e+00 6.201079999999998194e+01
4.690763052208835049e-03 1.057019999999999982e+02 6.343800000000000239e+01 1.887399999999999878e+01 2.204888000000000403e+01 4.016936000000001172e+00 6.368971200000001431e+01
4.722891566265059911e-03 1.047860000000000014e+02 6.563800000000000523e+01 1.877199999999999847e+01 2.319340799999999447e+01 3.978568000000001437e+00 6.602500800000002812e+01
4.755020080321284773e-03 1.038599999999999994e+02 6.777400000000000091e+01 1.862000000000000099e+01 2.429699199999999237e+01 3.922583999999999183e+00 6.813156799999998725e+01
4.787148594377509635e-03 1.029539999999999935e+02 6.920000000000000284e+01 1.883800000000000097e+01 2.516377600000001280e+01 3.966191999999998163e+00 6.953553600000002177e+01
4.819277108433735364e-03 1.020660000000000025e+02 7.090800000000000125e+01 1.872400000000000020e+01 2.616887999999999082e+01 3.950976000000002486e+00 7.117631200000001002e+01
4.851405622489960226e-03 1.011680000000000064e+02 7.296999999999999886e+01 1.853200000000000003e+01 2.733094400000000590e+01 3.890856000000001202e+00 7.309662400000006244e+01
4.883534136546185088e-03 1.002800000000000011e+02 7.468399999999999750e+01 1.849399999999999977e+01 2.837303999999999249e+01 3.868383999999998490e+00 7.480895199999999079e+01
4.915662650602409950e-03 9.937800000000000011e+01 7.666800000000000637e+01 1.845400000000000063e+01 2.958790400000000531e+01 3.833440000000001291e+00 7.696387199999999496e+01
4.947791164658634812e-03 9.849200000000000443e+01 7.823199999999999932e+01 1.858200000000000074e+01 3.055129599999998646e+01 3.847552000000001637e+00 7.829276000000000124e+01
4.979919678714859674e-03 9.759999999999999432e+01 8.039199999999999591e+01 1.845400000000000063e+01 3.186518400000000995e+01 3.787743999999999556e+00 8.047266400000000885e+01
5.012048192771084536e-03 9.670799999999999841e+01 8.237999999999999545e+01 1.857400000000000162e+01 3.315139200000000130e+01 3.781184000000000545e+00 8.247143200000002139e+01
5.044176706827309398e-03 9.585999999999999943e+01 8.416599999999999682e+01 1.859600000000000009e+01 3.430126399999999620e+01 3.768887999999997351e+00 8.410514399999999569e+01
5.076305220883534260e-03 9.498199999999999932e+01 8.661199999999999477e+01 1.826999999999999957e+01 3.584300799999996201e+01 3.651152000000000175e+00 8.655176000000003000e+01
5.108433734939759122e-03 9.409600000000000364e+01 8.885800000000000409e+01 1.804200000000000159e+01 3.738564799999999622e+01 3.579336000000001405e+00 8.874022400000001198e+01
5.140562248995983984e-03 9.324200000000000443e+01 9.104399999999999693e+01 1.807999999999999829e+01 3.885406400000003657e+01 3.540560000000001928e+00 9.093276800000006688e+01
5.172690763052208845e-03 9.241200000000000614e+01 9.319199999999999307e+01 1.787999999999999901e+01 4.035681600000003044e+01 3.476432000000001299e+00 9.292715200000003506e+01
5.204819277108433707e-03 9.155200000000000671e+01 9.548600000000000421e+01 1.745799999999999841e+01 4.201355200000001133e+01 3.403991999999999685e+00 9.505806399999998746e+01
