# t er pr apr br abr
1.790000000000000000e+02 9.275000000000000000e+03 2.989900000000000000e+04 2.820000000000000000e+03 2.000000000000000000e+00 1.800000000000000000e+02
1.800000000000000000e+02 9.395000000000000000e+03 3.060600000000000000e+04 2.832000000000000000e+03 2.000000000000000000e+00 1.810000000000000000e+02
1.810000000000000000e+02 9.493000000000000000e+03 3.129400000000000000e+04 2.843000000000000000e+03 2.000000000000000000e+00 1.820000000000000000e+02
1.820000000000000000e+02 9.591000000000000000e+03 3.210300000000000000e+04 2.856000000000000000e+03 2.000000000000000000e+00 1.830000000000000000e+02
1.830000000000000000e+02 9.722000000000000000e+03 3.276300000000000000e+04 2.875000000000000000e+03 2.000000000000000000e+00 1.840000000000000000e+02
1.840000000000000000e+02 9.823000000000000000e+03 3.361100000000000000e+04 2.888000000000000000e+03 2.000000000000000000e+00 1.850000000000000000e+02
1.850000000000000000e+02 9.977000000000000000e+03 3.446400000000000000e+04 2.902000000000000000e+03 2.000000000000000000e+00 1.860000000000000000e+02
1.860000000000000000e+02 1.007600000000000000e+04 3.519900000000000000e+04 2.921000000000000000e+03 2.000000000000000000e+00 1.870000000000000000e+02
1.870000000000000000e+02 1.021100000000000000e+04 3.606800000000000000e+04 2.939000000000000000e+03 2.000000000000000000e+00 1.880000000000000000e+02
1.880000000000000000e+02 1.036800000000000000e+04 3.701800000000000000e+04 2.956000000000000000e+03 2.000000000000000000e+00 1.890000000000000000e+02
1.890000000000000000e+02 1.050200000000000000e+04 3.786600000000000000e+04 2.975000000000000000e+03 2.000000000000000000e+00 1.900000000000000000e+02
1.900000000000000000e+02 1.063600000000000000e+04 3.871600000000000000e+04 2.990000000000000000e+03 2.000000000000000000e+00 1.910000000000000000e+02
1.910000000000000000e+02 1.075500000000000000e+04 3.963200000000000000e+04 3.002000000000000000e+03 2.000000000000000000e+00 1.920000000000000000e+02
1.920000000000000000e+02 1.091500000000000000e+04 4.050600000000000000e+04 3.016000000000000000e+03 2.000000000000000000e+00 1.930000000000000000e+02
